title,year,genre,cast_hint,director,plot_hint,tagline_text
I'm Still Here,2010,"Music, Comedy, Drama","Joaquin Phoenix, Antony Langdon, Carey Perloff",,"I'm Still Here is a portrayal of a tumultuous year in the life of actor Joaquin Phoenix. With remarkable access, the film follows the Oscar-nominee as he announces his retirement from a successful film career in the fall of 2008 and sets off to reinvent himself as a hip-hop musician. The film is a portrait of an artist at a crossroads and explores notions of courage and creative reinvention, as well as the ramifications of a life spent in the public eye.",He's done with Hollywood.
Ice Age: Dawn of the Dinosaurs,2009,"Animation, Comedy, Family","Ray Romano, John Leguizamo, Denis Leary",,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",What killed the dinosaurs?
In the Bedroom,2001,"Drama, Thriller","Tom Wilkinson, Sissy Spacek, Nick Stahl",,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",A young man. An older woman. Her ex-husband. Things are about to explode...
In the Name of the Father,1993,Drama,"Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson",,"A small-time Belfast thief, Gerry Conlon, is wrongly convicted of an IRA bombing in London, along with his father and friends, and spends 15 years in prison fighting to prove his innocence.",In the name of truth... In the name of justice... In the name of love.
Incredibles 2,2018,"Action, Adventure, Animation","Craig T. Nelson, Holly Hunter, Sarah Vowell",,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.","It's been too long, dahlings."
Independence Day,1996,"Action, Adventure, Science Fiction","Will Smith, Bill Pullman, Jeff Goldblum",,"Strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived. Its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances.",The question of whether or not we are alone in the universe has been answered.
Inglourious Basterds,2009,"Drama, Thriller, War","Brad Pitt, Mélanie Laurent, Christoph Waltz",,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Once upon a time in Nazi occupied France...
Inside Out,2015,"Animation, Family, Adventure","Amy Poehler, Phyllis Smith, Richard Kind",,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Meet the little voices inside your head.
Inside Out 2,2024,"Animation, Adventure, Comedy","Amy Poehler, Maya Hawke, Kensington Tallman",,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Make room for new emotions.
Interview with the Vampire,1994,"Horror, Drama, Fantasy","Tom Cruise, Brad Pitt, Antonio Banderas",,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Drink from me and live forever.
Iron Man 3,2013,"Action, Adventure, Science Fiction","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.
It,2017,"Horror, Thriller, Drama","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis",,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",You'll float too.
It Ends with Us,2024,"Drama, Romance","Blake Lively, Justin Baldoni, Jenny Slate",,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",We break the pattern or the pattern breaks us.
Jaws 2,1978,"Horror, Thriller","Roy Scheider, Lorraine Gary, Murray Hamilton",,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,Just when you thought it was safe to go back in the water...
Jerry Maguire,1996,"Comedy, Drama, Romance","Tom Cruise, Renée Zellweger, Cuba Gooding Jr.",,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",Everybody loved him... Everybody disappeared. The journey is everything.
JFK,1991,"Drama, Thriller, History","Kevin Costner, Tommy Lee Jones, Gary Oldman",,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,PRESIDENT KENNEDY SHOT TO DEATH BY ASSASSIN IN DALLAS
Jojo Rabbit,2019,"Comedy, War, Drama","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson",,"Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity.",An anti-hate satire.
Joker,2019,"Crime, Thriller, Drama","Joaquin Phoenix, Robert De Niro, Zazie Beetz",,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Put on a happy face.
Judas and the Black Messiah,2021,"Drama, History","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons",,Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,You can kill a revolutionary but you can't kill the revolution.
Jumanji,1995,"Adventure, Fantasy, Family","Robin Williams, Kirsten Dunst, Bradley Pierce",,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",It's a jungle in here.
Jumanji: Welcome to the Jungle,2017,"Adventure, Comedy, Fantasy","Dwayne Johnson, Kevin Hart, Jack Black",,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",The game has evolved.
Juno,2007,"Comedy, Drama, Romance","Elliot Page, Michael Cera, Jennifer Garner",,"Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.",A comedy about growing up… and the bumps along the way.
Jurassic World Dominion,2022,"Adventure, Science Fiction, Thriller","Chris Pratt, Bryce Dallas Howard, Laura Dern",,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",The epic conclusion of the Jurassic era.
Jurassic World Rebirth,2025,"Science Fiction, Adventure, Action","Scarlett Johansson, Mahershala Ali, Jonathan Bailey",,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",A new era is born.
